code,企業名,翌1M収益率
1301,極洋,-0.657894737
1332,日本水産,7.608695652
1333,マルハニチロ,8.382352941
1352,ホウスイ,0.17211704
1376,カネコ種苗,5.908513342
1377,サカタのタネ,6.640106242
1379,ホクト,-4.592592593
1384,ホクリョウ,-9.19199407
1413,ヒノキヤグループ,8.228730823
1414,ショーボンドホールディングス,5.477707006
1417,ミライト・ホールディングス,2.361275089
1419,タマホーム,-22.87270252
1420,サンヨーホームズ,9.309967141
1429,日本アクア,5.011933174
1430,ファーストコーポレーション,-1.204819277
1433,べステラ,-1.972872996
1435,TATERU,-23.5945835
1514,住石ホールディングス,4.375
1515,日鉄鉱業,8.441558442
1518,三井松島産業,3.698811096
1605,国際石油開発帝石,6.572948328
1606,日本海洋掘削,-4.977600796
1662,石油資源開発,17.20872787
1663,Ｋ＆Ｏエナジーグループ,3.703703704
1712,ダイセキ環境ソリューション,7.164179104
1716,第一カッター興業,8.648901356
1719,安藤・間,10.11235955
1720,東急建設,1.471861472
1721,コムシスホールディングス,7.394366197
1722,ミサワホーム,4.391891892
1726,ビーアールホールディングス,7.197943445
1762,高松コンストラクショングループ,-1.956882255
1766,東建コーポレーション,-0.535795714
1768,ソネック,2.454780362
1780,ヤマウラ,1.124859393
1801,大成建設,9.444444444
1802,大林組,8.419243986
1803,清水建設,13.98527865
1805,飛島建設,-0.564971751
1808,長谷工コーポレーション,6.54725139
1810,松井建設,9.296482412
1811,錢高組,8.565737052
1812,鹿島建設,6.889564336
1813,不動テトラ,-1.058201058
1814,大末建設,-1.047619048
1815,鉄建建設,7.36497545
1820,西松建設,14.29112964
1821,三井住友建設,6.349206349
1822,大豊建設,11.91275168
1824,前田建設工業,7.729083665
1826,佐田建設,4.565217391
1827,ナカノフドー建設,-1.111111111
1833,奥村組,8.10488677
1835,東鉄工業,0.306748466
1847,イチケン,2.467586784
1852,淺沼組,0.751879699
1860,戸田建設,17.25032425
1861,熊谷組,9.064327485
1865,青木あすなろ建設,7.433808554
1866,北野建設,-1.965601966
1867,植木組,0.075815011
1868,三井ホーム,7.374631268
1870,矢作建設工業,6.106870229
1871,ピーエス三菱,3.879310345
1873,日本ハウスホールディングス,1.349382586
1878,大東建託,-0.734094617
1879,新日本建設,5.099394987
1881,ＮＩＰＰＯ,1.783542764
1882,東亜道路工業,-3.694581281
1883,前田道路,9.953488372
1884,日本道路,4.798464491
1885,東亜建設工業,24
1888,若築建設,5.093996361
1890,東洋建設,7.142857143
1893,五洋建設,11.03979461
1898,世紀東急工業,2.325581395
1899,福田組,2.380952381
1909,日本ドライケミカル,3.495630462
1911,住友林業,6.506447831
1914,日本基礎技術,-4.44E-14
1916,日成ビルド工業,6.980392157
1919,ヤマダ・エスバイエルホーム,-27.55102041
1921,巴コーポレーション,12.26765799
1925,大和ハウス工業,-2.195121951
1926,ライト工業,8.469945355
1928,積水ハウス,3.218331617
1929,日特建設,2.272727273
1930,北陸電気工事,4.745470233
1934,ユアテック,13.00236407
1937,西部電気工業,0.66596565
1939,四電工,-0.149925037
1941,中電工,5.839416058
1942,関電工,6.930693069
1944,きんでん,8.39954597
1945,東京エネシス,7.852965748
1946,トーエネック,9.98389694
1949,住友電設,9.436619718
1950,日本電設工業,6.888361045
1951,協和エクシオ,0.140548138
1952,新日本空調,2.076777848
1954,日本工営,-0.618238022
1956,ＮＤＳ,-4.600219058
1959,九電工,-1.912045889
1961,三機工業,2.693602694
1963,日揮,16.03284356
1964,中外炉工業,0.237610319
1967,ヤマト,-2.105263158
1968,太平電業,4.005880191
1969,高砂熱学工業,6.397134084
1972,三晃金属工業,-1.39275766
1973,ＮＥＣネッツエスアイ,3.389830508
1975,朝日工業社,2.857142857
1976,明星工業,13.2780083
1979,大気社,9.770114943
1980,ダイダン,12.82488283
1982,日比谷総合設備,8.032536858
1983,東芝プラントシステム,-0.30527693
2001,日本製粉,8.368708308
2002,日清製粉グループ本社,13.46609768
2003,日東富士製粉,-0.834202294
2004,昭和産業,4.627621114
2009,鳥越製粉,2.725366876
2053,中部飼料,14.17979611
2060,フィード・ワン,12.96296296
2107,東洋精糖,3.544929926
2108,日本甜菜製糖,3.279386712
2109,三井製糖,6.569343066
2112,塩水港精糖,0.377358491
2117,日新製糖,2.388915432
2120,LIFULL,-6.986444213
2124,ジェイエイシーリクルートメント,-2.065026362
2127,日本Ｍ＆Ａセンター,-12.29508197
2130,メンバーズ,-11.35822081
2139,中広,8.049113233
2151,タケエイ,3.081664099
2154,トラスト・テック,0.285714286
2157,コシダカホールディングス,-8.791208791
2168,パソナグループ,-21.104877
2169,ＣＤＳ,3.291316527
2170,リンクアンドモチベーション,-13.77708978
2174,GCA,6.820682068
2175,エス・エム・エス,-8.48952591
2181,パーソルホールディングス,-15.89660743
2183,リニカル,-10.16524787
2193,クックパッド,6.688963211
2196,エスクリ,-3.428571429
2198,アイ・ケイ・ケイ,-0.380228137
2201,森永製菓,13.76734258
2204,中村屋,3.632478632
2206,江崎グリコ,6.104129264
2207,名糖産業,11.83134047
2209,井村屋グループ,-13.97153946
2211,不二家,6.570199452
2212,山崎製パン,8.605072464
2215,第一屋製パン,4.010238908
2217,モロゾフ,-0.59970015
2220,亀田製菓,4.86381323
2222,寿スピリッツ,-6.964285714
2229,カルビー,4.829545455
2264,森永乳業,11.20092379
2266,六甲バター,15.08355321
2267,ヤクルト本社,-0.889453621
2269,明治ホールディングス,8.395061728
2270,雪印メグミルク,14.52902329
2281,プリマハム,9.672131148
2282,日本ハム,9.747706422
2286,林兼産業,3.510895884
2288,丸大食品,5.068226121
2292,エスフーズ,3.599550056
2296,伊藤ハム米久ホールディングス,7.567567568
2301,学情,-8.1132947
2305,スタジオアリス,-5.429341548
2309,シミックホールディングス,-6.75074184
2317,システナ,-5.239179954
2325,ＮＪＳ,0.934579439
2326,デジタルアーツ,5.231143552
2327,新日鉄住金ソリューションズ,4.276315789
2331,綜合警備保障,2.851711027
2335,キューブシステム,-5.937136205
2337,いちご,4.273504274
2352,エイジア,-7.133757962
2353,日本駐車場開発,5.142857143
2359,コア,8.983799705
2371,カカクコム,12.29860365
2372,アイロムグループ,-14.8534202
2374,セントケア・ホールディング,4.979811575
2376,サイネックス,2.777777778
2378,ルネサンス,-1.497160558
2379,ディップ,-21.12759644
2384,ＳＢＳホールディングス,-1.301518438
2389,オプトホールディング,-0.787878788
2395,新日本科学,-6.632653061
2398,ツクイ,4.468599034
2410,キャリアデザインセンター,-3.043691703
2413,エムスリー,-13.28451883
2418,ツカダ・グローバルホールディング,4.025764895
2424,ブラス,-9.948717949
2427,アウトソーシング,-3.049421661
2428,ウェルネット,4.33244916
2429,ワールドホールディングス,-12.71929825
2432,ディー・エヌ・エー,8.59375
2433,博報堂ＤＹホールディングス,4.647983595
2440,ぐるなび,0.944032367
2445,エスアールジータカミヤ,3.048780488
2453,ジャパンベストレスキューシステム,-18.83182276
2461,ファンコミュニケーションズ,-2.961918195
2462,ライク,-13.81578947
2464,ビジネス・ブレークスルー,-4.384133612
2475,ＷＤＢホールディングス,-9.25684485
2485,ティア,4.057971014
2487,ＣＤＧ,-0.63058329
2491,バリューコマース,16.64335664
2492,インフォマート,-2.154750245
2501,サッポロホールディングス,0.967741935
2502,アサヒグループホールディングス,-2.311628728
2503,キリンホールディングス,8.490732568
2531,宝ホールディングス,11.93903472
2533,オエノンホールディングス,-2.922755741
2540,養命酒製造,2.674467196
2579,コカ・コーラ　ボトラーズジャパンホールディングス,7.167235495
2587,サントリー食品インターナショナル,4.255319149
2590,ダイドーグループホールディングス,2.098950525
2593,伊藤園,5.031712474
2594,キーコーヒー,3.763696999
2597,ユニカフェ,4.151291513
2599,ジャパンフーズ,0.951086957
2602,日清オイリオグループ,7.692307692
2607,不二製油グループ本社,9.501557632
2612,かどや製油,-2.012383901
2613,Ｊ−オイルミルズ,4.132231405
2651,ローソン,-0.275862069
2659,サンエー,-4.893964111
2664,カワチ薬品,-2.636606802
2670,エービーシー・マート,2.853067047
2674,ハードオフコーポレーション,5.180388529
2676,高千穂交易,-13.93442623
2678,アスクル,-3.905160391
2681,ゲオホールディングス,5.281690141
2685,アダストリア,-12.30982019
2686,ジーフット,3.650586701
2687,シー・ヴイ・エス・ベイエリア,7.00280112
2692,伊藤忠食品,7.205623902
2695,くらコーポレーション,8.093278464
2698,キャンドゥ,0.442233278
2715,エレマテック,-4.947409427
2726,パルグループホールディングス,1.83299389
2729,ＪＡＬＵＸ,1.286173633
2730,エディオン,3.877221325
2733,あらた,9.060402685
2734,サーラコーポレーション,5.900621118
2735,ワッツ,4.245709124
2737,トーメンデバイス,0.962566845
2742,ハローズ,5.015432099
2749,ＪＰホールディングス,6.796116505
2753,あみやき亭,-5.457746479
2760,東京エレクトロン　デバイス,9.6875
2764,ひらまつ,0.589390963
2767,フィールズ,2.489270386
2768,双日,5.865102639
2784,アルフレッサ ホールディングス,2.027027027
2791,大黒天物産,3.860294118
2792,ハニーズホールディングス,2.747791953
2796,ファーマライズホールディングス,12.00631912
2801,キッコーマン,10.86448598
2802,味の素,4.207792208
2809,キユーピー,-11.63837894
2810,ハウス食品グループ本社,9.052333805
2811,カゴメ,5.62248996
2812,焼津水産化学工業,0.637450199
2815,アリアケジャパン,10.3286385
2818,ピエトロ,-1.139088729
2819,エバラ食品工業,-0.236966825
2871,ニチレイ,7.653061224
2874,横浜冷凍,6.220095694
2875,東洋水産,4.484848485
2882,イートアンド,-5.31220876
2883,大冷,-2.884615385
2884,ヨシムラ・フード・ホールディングス,-36.43835616
2897,日清食品ホールディングス,9.078590786
2899,永谷園ホールディングス,0.480439259
2904,一正蒲鉾,14.72545757
2908,フジッコ,5.263157895
2910,ロック・フィールド,-3.176669749
2914,日本たばこ産業,-4.223744292
2915,ケンコーマヨネーズ,9.728183119
2918,わらべや日洋ホールディングス,5.179584121
2922,なとり,0.934579439
2924,イフジ産業,0.770218228
2925,ピックルスコーポレーション,12.02247191
2930,北の達人コーポレーション,6.624203822
2931,ユーグレナ,-1.851851852
3001,片倉工業,0.651701665
3002,グンゼ,11.60862355
3003,ヒューリック,1.378122308
3004,神栄,0.482758621
3023,ラサ商事,2.106430155
3028,アルペン,1.391817798
3030,ハブ,2.912621359
3031,ラクーン,3.486793503
3034,クオール,7.714422616
3036,アルコニックス,-7.562235791
3038,神戸物産,10.3950104
3040,ソリトンシステムズ,7.003610108
3046,ジンズ,0.337837838
3048,ビックカメラ,7.407407407
3050,ＤＣＭ　ホールディングス,0.925925926
3053,ペッパーフードサービス,28.45528455
3064,ＭｏｎｏｔａＲＯ,0.130890052
3067,東京一番フーズ,1.736613603
3073,DDホールディングス,-22.87323944
3076,あい　ホールディングス,-1.214984813
3079,ディーブイエックス,5.146476643
3082,きちり,0.412087912
3085,アークランドサービスホールディングス,-3.502266172
3086,Ｊ．フロント　リテイリング,-1.879491432
3087,ドトール・日レスホールディングス,-8.186195827
3088,マツモトキヨシホールディングス,8.555555556
3091,ブロンコビリー,15.76819407
3092,スタートトゥデイ,11.18930331
3093,トレジャー・ファクトリー,2.534854246
3097,物語コーポレーション,8.265213442
3098,ココカラファイン,9.078404402
3099,三越伊勢丹ホールディングス,3.747870528
3101,東洋紡,1.667460696
3103,ユニチカ,8.408408408
3104,富士紡ホールディングス,9.585492228
3105,日清紡ホールディングス,8.106219427
3106,倉敷紡績,8.059701493
3107,ダイワボウホールディングス,6.752411576
3109,シキボウ,6.312548114
3110,日東紡績,4.964539007
3116,トヨタ紡織,5.631868132
3132,マクニカ・富士エレホールディングス,-2.084418968
3134,Ｈａｍｅｅ,-6.924647443
3139,ラクト・ジャパン,41.51724138
3141,ウエルシアホールディング,17.90575916
3148,クリエイトＳＤホールディングス,14.60592914
3151,バイタルケーエスケー・ホールディングス,2.483285578
3153,八洲電機,7.64774044
3154,メディアスホールディングス,-1.162790698
3156,ＵＫＣホールディングス,4.426377597
3157,ジューテックホールディングス,-0.526315789
3159,丸善ＣＨＩホールディングス,1.714285714
3160,大光,1.662707838
3166,ＯＣＨＩ ホールディングス,4.234297812
3167,ＴＯＫＡＩホールディングス,3.153988868
3169,ミサワ,0.702576112
3172,ティーライフ,7.005838198
3173,Cominix,-5.780933063
3175,エー・ピーカンパニー,-2.589395808
3176,三洋貿易,6.376668314
3178,チムニー,-1.694915254
3179,シュッピン,-2.987421384
3180,ビューティガレージ,-20.5474738
3183,ウイン・パートナーズ,-1.935914553
3186,株式会社ネクステージ,-8.543531326
3191,ジョイフル本田,0
3193,鳥貴族,-8.135048232
3194,キリン堂ホールディングス,66.29401901
3196,ホットランド,3.814510097
3197,すかいらーくホールディングス,5.091383812
3199,綿半ホールディングス,-6.060606061
3201,日本毛織,9.291187739
3202,ダイトウボウ,-4.716981132
3204,トーア紡コーポレーション,1.903114187
3205,ダイドーリミテッド,4.269662921
3221,ヨシックス,-5.84045584
3222,ユナイテッド・スーパーマーケット・ホールディングス,27.14412025
3228,三栄建築設計,-17.48438894
3230,スター・マイカ,-3.261312678
3231,野村不動産ホールディングス,8.200636943
3232,三重交通グループホールディングス,-0.761904762
3244,サムティ,9.72972973
3245,ディア・ライフ,10.29962547
3246,コーセーアールイー,1.61987041
3250,エー・ディー・ワークス,-4.761904762
3252,日本商業開発,4.05561993
3254,プレサンスコーポレーション,3.650990099
3258,ユニゾホールディングス,1.39588988
3271,ＴＨＥグローバル社,5.855338691
3276,日本管理センター,-0.494743352
3277,サンセイランディック,5.691699605
3280,エストラスト,7.948442535
3284,フージャースホールディングス,5.345501956
3288,オープンハウス,-7.272727273
3289,東急不動産ホールディングス,11.22580645
3291,飯田グループホールディングス,7.696177062
3294,イーグランド,-1.821192053
3299,ムゲンエステート,3.725782414
3302,帝国繊維,13.08874566
3313,ブックオフコーポレーション,0.120048019
3315,日本コークス工業,8.333333333
3319,ゴルフダイジェスト・オンライン,14.96138996
3321,ミタチ産業,-20.80965909
3328,ＢＥＥＮＯＳ,-4.893494531
3333,あさひ,3.230769231
3341,日本調剤,1.641791045
3349,コスモス薬品,13.98795739
3360,シップヘルスケアホールディングス,1.466666667
3361,トーエル,-1.391527429
3366,一六堂,0.945626478
3371,ソフトクリエイトホールディングス,18.25068871
3376,オンリー,5.531453362
3382,セブン＆アイ・ホールディングス,5.280455741
3385,薬王堂,-4.887218045
3387,クリエイト・レストランツ・ホールディングス,9.587955626
3388,明治電機工業,3.988439306
3391,ツルハホールディングス,3.691496374
3392,デリカフーズホールディングス,0.313479624
3393,スターティアホールディングス,-11.81818182
3395,サンマルクホールディングス,0.649350649
3396,フェリシモ,-1.223902088
3397,トリドールホールディングス,-5.161290323
3401,帝人,2.99850075
3402,東レ,1.539990065
3405,クラレ,0.774336283
3407,旭化成,7.755539671
3408,サカイオーベックス,-8.081194944
3415,TOKYO BASE,-24.55902307
3421,稲葉製作所,4.415011038
3431,宮地エンジニアリンググループ,5.824284304
3433,トーカロ,5.088666153
3434,アルファ,3.242617255
3436,ＳＵＭＣＯ,-3.154121864
3443,川田テクノロジーズ,10.97560976
3445,アールエステクノロジーズ,5.631659056
3452,ビーロット,-13.09216193
3454,ファーストブラザーズ,-12.85347044
3457,ハウスドゥ,14.24501425
3458,シーアールイー,-1.152579583
3465,ケイアイスター不動産,8.86405959
3501,住江織物,0.419727177
3512,日本フエルト,0
3513,イチカワ,2.762430939
3521,エコナックホールディングス,-2.362204724
3524,日東製網,-2.242722735
3526,芦森工業,6.917688266
3529,アツギ,3.697478992
3538,ウイルプラスホールディングス,5.027932961
3543,コメダホールディングス,8.996539792
3544,サツドラホールディングス,10.04608295
3546,ダイユー・リックホールディングス,-11.59929701
3548,バロックジャパンリミテッド,9.419600381
3549,クスリのアオキホールディングス,-2.594033722
3551,ダイニック,-0.751879699
3553,共和レザー,2.296450939
3561,力の源ホールディングス,-6.62037037
3563,スシローグローバルホールディングス,10.29126214
3564,LIXILビバ,-2.400384061
3569,セーレン,6.391545043
3571,ソトー,-2.86259542
3577,東海染工,2.393980848
3580,小松精練,-3.333333333
3591,ワコールホールディングス,7.792207792
3593,ホギメディカル,6.169965076
3606,レナウン,2.22E-14
3607,クラウディアホールディングス,-9.593495935
3608,ＴＳＩホールディングス,13.78413524
3611,マツオカコーポレーション,-5.754276827
3626,TIS,3.087885986
3627,ネオス,-2.22E-14
3630,電算システム,5.247225025
3632,グリー,0
3635,コーエーテクモホールディングス,8.710298364
3636,三菱総合研究所,14.30700447
3639,ボルテージ,-2.286902287
3640,電算,-1.181933305
3648,ＡＧＳ,-7.531380753
3649,ファインデックス,13.67521368
3654,ヒト・コミュニケーションズ,13.08615049
3655,ブレインパッド,-9.962470147
3656,ＫＬａｂ,8.705745792
3657,ポールトゥウィン・ピットクルーホールディングス,-2.238417491
3658,イーブックイニシアティブジャパン,-7.555898227
3659,ネクソン,-9.488636364
3660,アイスタイル,-1.685772084
3661,エムアップ,35.7400722
3662,エイチーム,-9.96835443
3666,テクノスジャパン,1.050420168
3667,ｅｎｉｓｈ,17.27574751
3668,コロプラ,-10.47516199
3669,モバイルクリエイト,4.507042254
3672,オルトプラス,-15.56420233
3673,ブロードリーフ,-1.323251418
3675,クロス・マーケティンググループ,-2.469135802
3676,デジタルハーツホールディングス,-4.44E-14
3678,メディアドゥホールディングス,6.366630077
3681,ブイキューブ,11.46616541
3683,サイバーリンクス,-6.199021207
3686,ディー・エル・イー,3.225806452
3687,フィックスターズ,-19.07514451
3688,ＶＯＹＡＧＥ　ＧＲＯＵＰ,-11.87077385
3694,オプティム,3.241296519
3696,セレス,19.69792322
3708,特種東海製紙,5.672009864
3724,ベリサーブ,-3.975535168
3738,ティーガイア,3.343465046
3741,セック,-4.755293301
3751,日本アジアグループ,3.766478343
3756,豆蔵ホールディングス,-1.822323462
3762,テクマトリックス,-4.69988675
3763,プロシップ,1.642335766
3765,ガンホー・オンライン・エンターテイメント,-8.563535912
3769,ＧＭＯペイメントゲートウェイ,2.551984877
3770,ザッパラス,0
3771,システムリサーチ,5.949137148
3774,インターネットイニシアティブ,-4.07974038
3778,さくらインターネット,3.820816864
3784,ヴィンクス,16.05734767
3788,ＧＭＯクラウド,4.724750759
3817,ＳＲＡホールディングス,3.436988543
3822,Ｍｉｎｏｒｉソリューションズ,14.83253589
3826,システムインテグレータ,10.4743083
3834,朝日ネット,2.173913043
3835,ｅＢＡＳＥ,1.975683891
3836,アバント,-1.565995526
3837,アドソル日進,1.998462721
3843,フリービット,-14.86154222
3844,コムチュア,-7.79054917
3852,サイバーコム,2.755194219
3853,インフォテリア,3.215686275
3861,王子ホールディングス,12.57309942
3863,日本製紙,5.589123867
3864,三菱製紙,5.34351145
3865,北越コーポレーション,-0.29154519
3877,中越パルプ工業,1.678028317
3878,巴川製紙所,7.553956835
3880,大王製紙,2.333333333
3896,阿波製紙,6.393442623
3902,メディカル・データ・ビジョン,-30.26200873
3903,ｇｕｍｉ,-5.493482309
3909,ショーケース・ティービー,-18.76056338
3912,モバイルファクトリー,-20.01287001
3916,デジタル・インフォメーション・テクノロジー,-10.76807229
3918,ＰＣＩホールディングス,-0.165562914
3919,バイプドHD,-29.19808088
3920,アイビーシー,-19.9231262
3921,ネオジャパン,-16.95710456
3926,オープンドア,-11.36659436
3928,マイネット,-0.625978091
3932,アカツキ,-6.336633663
3934,ベネフィットジャパン,-9.16271722
3937,Ubicomホールディングス,-8.826479438
3938,LINE,-5.106888361
3941,レンゴー,2.502720348
3946,トーモク,-4.519774011
3950,ザ・パック,2.726146221
3963,シンクロ・フード,-16.46341463
3964,オークネット,-3.66598778
3975,AOI TYO Holdings,2.269692924
3978,マクロミル,-6.550632911
3981,ビーグリー,3.802733214
3983,オロ,-3.286384977
4004,昭和電工,-18.77777778
4005,住友化学,1.451612903
4008,住友精化,2.946954813
4021,日産化学,10.29411765
4022,ラサ工業,5.688763517
4023,クレハ,7.503607504
4025,多木化学,7.268464244
4027,テイカ,2.592329545
4028,石原産業,-3.379416283
4031,片倉コープアグリ,1.46460537
4033,日東エフシー,1.239669421
4041,日本曹達,4.651162791
4042,東ソー,-6.992337165
4043,トクヤマ,-3.545051699
4044,セントラル硝子,4.882970137
4045,東亞合成,3.351955307
4046,大阪ソーダ,8.896797153
4047,関東電化工業,-5.560704356
4061,デンカ,9.677419355
4062,イビデン,14.40303222
4063,信越化学工業,-1.11E-14
4064,日本カーバイド工業,9.478908189
4078,堺化学工業,2.541159628
4088,エア・ウォーター,1.83044316
4091,大陽日酸,0.744878957
4092,日本化学工業,-2.005730659
4093,東邦アセチレン,-4.402515723
4095,日本パーカライジング,-0.172612198
4097,高圧ガス工業,8.474576271
4098,チタン工業,6.329113924
4099,四国化成工業,-1.52768937
4100,戸田工業,2.22E-14
4109,ステラ　ケミファ,14.7566719
4112,保土谷化学工業,-3.215767635
4114,日本触媒,3.047091413
4116,大日精化工業,2.164009112
4118,カネカ,2.464454976
4151,協和発酵キリン,1.583226359
4182,三菱瓦斯化学,0.980776775
4183,三井化学,-6.408345753
4185,ＪＳＲ,-13.70664438
4186,東京応化工業,1.048492792
4187,大阪有機化学工業,4.678362573
4188,三菱ケミカルホールディングス,0.873362445
4189,KHネオケム,3.912363067
4202,ダイセル,8.950086059
4203,住友ベークライト,5.431309904
4204,積水化学工業,4.525862069
4205,日本ゼオン,-7.607282185
4206,アイカ工業,4.568527919
4208,宇部興産,7.568438003
4212,積水樹脂,3.245348334
4215,タキロンシーアイ,-3.463203463
4216,旭有機材,4.914285714
4217,日立化成,-0.783505155
4218,ニチバン,0.286532951
4220,リケンテクノス,4.733727811
4221,大倉工業,4.258943782
4228,積水化成品工業,21.46985962
4229,群栄化学工業,4.279600571
4231,タイガースポリマー,-3.135888502
4238,ミライアル,-0.454250487
4245,ダイキアクシス,-6.54725139
4246,ダイキョーニシカワ,13.01605505
4248,竹本容器,13.19272126
4249,森六ホールディングス,2.86591607
4272,日本化薬,4.896710023
4275,カーリットホールディングス,-1.566820276
4282,ＥＰＳホールディングス,2.059496568
4284,ソルクシーズ,13.88349515
4286,レッグス,1.449275362
4290,プレステージ・インターナショナル,-2.096273292
4295,フェイス,-5.108877722
4299,ハイマックス,-1.766784452
4301,アミューズ,5.970149254
4307,野村総合研究所,12.1031746
4310,ドリームインキュベータ,-12.31859602
4312,サイバネットシステム,4.594921403
4318,クイック,-5.307409354
4319,ＴＡＣ,-11.7816092
4320,ＣＥホールディングス,9.929078014
4321,ケネディクス,-4.229607251
4323,日本システム技術,-1.058201058
4324,電通,10.92077088
4326,インテージホールディングス,1.697792869
4331,テイクアンドギヴ・ニーズ,-2.874049028
4333,東邦システムサイエンス,6.12244898
4337,ぴあ,21.65137615
4343,イオンファンタジー,8.474576271
4344,ソースネクスト,1.56046814
4345,シーティーエス,-2.038216561
4346,ネクシィーズグループ,-0.348027842
4350,メディカルシステムネットワーク,0.871080139
4362,日本精化,1.544715447
4368,扶桑化学工業,1.528384279
4369,トリケミカル研究所,-10
4401,ＡＤＥＫＡ,1.355578728
4403,日油,3.815580286
4404,ミヨシ油脂,1.388888889
4406,新日本理化,-1.158301158
4410,ハリマ化成グループ,9.987669544
4452,花王,-1.57874953
4461,第一工業製薬,-20.68571429
4462,石原ケミカル,-11.8907563
4463,日華化学,2.274573517
4465,ニイタカ,0.887902331
4471,三洋化成工業,3.7111334
4502,武田薬品工業,-10.84314104
4503,アステラス製薬,-0.526641884
4506,大日本住友製薬,11.70212766
4507,塩野義製薬,2.604261519
4508,田辺三菱製薬,0.192307692
4512,わかもと製薬,3.558718861
4514,あすか製薬,-0.179425837
4516,日本新薬,14.60674157
4517,ビオフェルミン製薬,-0.66596565
4519,中外製薬,7.434944238
4521,科研製薬,3.184713376
4523,エーザイ,8.317357322
4526,理研ビタミン,-1.11E-14
4527,ロート製薬,7.394957983
4528,小野薬品工業,-23.05707347
4530,久光製薬,3.519417476
4531,有機合成薬品工業,0.99009901
4534,持田製薬,3.20855615
